nome,created_at,id
BMC Hyundai,2026-06-18 18:04:35.365929+00,2
Checklist Fácil,2026-06-18 18:04:35.365929+00,3
Grupo Premier Alimentos,2026-06-18 18:04:35.365929+00,4
Medika,2026-06-18 18:04:35.365929+00,5
OneGlobal,2026-06-18 18:04:35.365929+00,6
PROGIC,2026-06-18 18:04:35.365929+00,7
Sidrasul,2026-06-18 18:04:35.365929+00,8
Tecnogera,2026-06-18 18:04:35.365929+00,9
Urânia Planetário,2026-06-18 18:04:35.365929+00,10
Cartrom,2026-06-18 18:04:35.365929+00,20
Forma Turismo,2026-06-18 18:04:35.365929+00,21
Implantec,2026-06-18 18:04:35.365929+00,22
Hyperion Corretora,2026-06-18 18:04:35.365929+00,26
VerticalParts,2026-06-18 18:04:35.365929+00,27
Luma Digital,2026-06-19 23:12:55.268323+00,28
PADO,2026-06-18 18:04:35.365929+00,29
Tulípia Cosméticos,2026-06-18 18:04:35.365929+00,30
Velana,2026-06-18 18:04:35.365929+00,31
WaSpeed,2026-06-18 18:04:35.365929+00,32
GoGood,2026-06-18 18:04:35.365929+00,33
AMPCO,2026-06-18 18:04:35.365929+00,34
Ayko Tech,2026-06-18 18:04:35.365929+00,35
E-inscrição,2026-06-18 18:04:35.365929+00,36
Leadfy,2026-06-18 18:04:35.365929+00,37
Score Media,2026-06-18 18:04:35.365929+00,38
Persona,2026-06-18 18:04:35.365929+00,39
Vieira melo & lionello,2026-06-18 18:04:35.365929+00,40
PROESC,2026-06-18 18:04:35.365929+00,41
ACCION Sistemas,2026-06-18 18:04:35.365929+00,42
Inova CWB,2026-06-18 18:04:35.365929+00,43
Volt,2026-06-18 18:04:35.365929+00,44
Confiax Seguros,2026-06-18 18:04:35.365929+00,45
Synoro,2026-06-18 18:04:35.365929+00,47
Dynamis importadora,2026-06-18 18:04:35.365929+00,48
DryIT,2026-06-18 18:04:35.365929+00,49
Questor,2026-06-18 18:04:35.365929+00,50
Hostweb Data Center,2026-06-18 18:04:35.365929+00,51
TOTVS BRASIL CENTRAL,2026-06-18 18:04:35.365929+00,52
Talentos Consultoria,2026-06-18 18:04:35.365929+00,53
A Mais Imobiliária,2026-06-18 18:04:35.365929+00,54
Hub Inova+,2026-06-18 18:04:35.365929+00,55
TransconsultLog,2026-06-18 18:04:35.365929+00,56
Brinov Tecnologia,2026-06-18 18:04:35.365929+00,57
Galinari Advocacia,2026-06-18 18:04:35.365929+00,58
DBA,2026-06-18 18:04:35.365929+00,59
Mundo da Água,2026-06-18 18:04:35.365929+00,60
Grupo Tevunah,2026-06-18 18:04:35.365929+00,61
Flex Soluções,2026-06-18 18:04:35.365929+00,63
Popedi,2026-06-18 18:04:35.365929+00,64
Brands Lab,2026-06-18 18:04:35.365929+00,65
Global Solution 360,2026-06-18 18:04:35.365929+00,66
DV2,2026-06-18 18:04:35.365929+00,67
Simples Dental,2026-06-18 18:04:35.365929+00,68
Goose Educação,2026-06-18 18:04:35.365929+00,69
Clear Industria de Papéis,2026-06-18 18:04:35.365929+00,70
Aliar Consultoria,2026-06-18 18:04:35.365929+00,71
Cloudfy,2026-06-18 18:04:35.365929+00,72
Dynamox,2026-06-18 18:04:35.365929+00,73
Fancore,2026-06-18 18:04:35.365929+00,74
Spark,2026-06-18 18:04:35.365929+00,75
Bext,2026-06-18 18:04:35.365929+00,76
Cargo Sapiens,2026-06-18 18:04:35.365929+00,77
Kurier,2026-06-18 18:04:35.365929+00,78
Checkmob,2026-06-18 18:04:35.365929+00,79
Logithink,2026-06-18 18:04:35.365929+00,80
Monde,2026-06-18 18:04:35.365929+00,81
Imigrante Rico,2026-06-18 18:04:35.365929+00,82
CustomerX,2026-06-18 18:04:35.365929+00,83
Engeform,2026-06-18 18:04:35.365929+00,84
Ubeton,2026-06-18 18:04:35.365929+00,85
UpFlux,2026-06-18 18:04:35.365929+00,86
Konstroi,2026-06-18 18:04:35.365929+00,87
lievissimo,2026-06-19 23:13:20.13259+00,88
Clinipap,2026-06-18 18:04:35.365929+00,89
Goo! Life,2026-06-18 18:04:35.365929+00,90
AEVO,2026-06-18 18:04:35.365929+00,91
Nasajon,2026-06-18 18:04:35.365929+00,92
FastBuilt,2026-06-18 18:04:35.365929+00,93
Golden Cloud,2026-06-18 18:04:35.365929+00,94
WebMais,2026-06-18 18:04:35.365929+00,95
Baldussi Telecon,2026-06-18 18:04:35.365929+00,96
Emusys,2026-06-18 18:04:35.365929+00,97
Tintas Nacional,2026-06-18 18:04:35.365929+00,98
ACE ONLINE,2026-06-18 18:04:35.365929+00,99
Century Net,2026-06-18 18:04:35.365929+00,100
Afianci,2026-06-18 18:04:35.365929+00,102
Great People,2026-06-18 18:04:35.365929+00,103
OAC SOLAR,2026-06-18 18:04:35.365929+00,104
Revolutions IA,2026-06-18 18:04:35.365929+00,105
Shield Equipamentos,2026-06-18 18:04:35.365929+00,106
Êxito Trade Marketing,2026-06-18 18:04:35.365929+00,107
IndeCX,2026-06-18 18:04:35.365929+00,108
Arimoto,2026-06-18 18:04:35.365929+00,109
Flowbiz Tecnologia,2026-06-18 18:04:35.365929+00,110
Megasolutions tecnologia,2026-06-18 18:04:35.365929+00,111
Texneo,2026-06-18 18:04:35.365929+00,112
Magis5,2026-06-18 18:04:35.365929+00,113
MILVUS,2026-06-18 18:04:35.365929+00,114
ACS Pro,2026-06-18 18:04:35.365929+00,115
PiperHub,2026-06-18 18:04:35.365929+00,116
Kaizen Solutions,2026-06-18 18:04:35.365929+00,117
Manager One,2026-06-18 18:04:35.365929+00,118
Full Vision,2026-06-18 18:04:35.365929+00,119
Nelsys Solutions,2026-06-18 18:04:35.365929+00,120
Nardin Seguros,2026-06-18 18:04:35.365929+00,121
Net.com,2026-06-18 18:04:35.365929+00,122
Voximplant,2026-06-18 18:04:35.365929+00,123
Teruya,2026-06-18 18:04:35.365929+00,124
Umbler,2026-06-18 18:04:35.365929+00,126
Agromed Patent Brazil,2026-06-18 18:04:35.365929+00,129
Innovc,2026-06-18 18:04:35.365929+00,130
Veezor,2026-06-18 18:04:35.365929+00,131
Advice Company,2026-06-18 18:04:35.365929+00,132
Multibelt,2026-06-18 18:04:35.365929+00,133
Valeti App,2026-06-18 18:04:35.365929+00,134
Comunitive,2026-06-18 18:04:35.365929+00,135
ADVISE,2026-06-18 18:04:35.365929+00,136
WGK,2026-06-18 18:04:35.365929+00,137
Alta Geotecnia,2026-06-18 18:04:35.365929+00,138
You RH,2026-06-18 18:04:35.365929+00,139
LSB,2026-06-18 18:04:35.365929+00,140
Jexperts,2026-06-18 18:04:35.365929+00,142
Estuda.com,2026-06-18 18:04:35.365929+00,143
Alpha cm,2026-06-18 18:04:35.365929+00,145
Apollo Ônibus,2026-06-18 18:04:35.365929+00,147
Danka,2026-06-18 18:04:35.365929+00,148
Tech-Ind,2026-06-18 18:04:35.365929+00,150
Runrun.it,2026-06-18 18:04:35.365929+00,151
Agrocomm Comércio Importaçao e Exportação LTDA,2026-06-18 18:04:35.365929+00,152
SambaTech,2026-06-18 18:04:35.365929+00,153
Conta Simples,2026-06-18 18:04:35.365929+00,155
Imagem Geosistemas,2026-06-18 18:04:35.365929+00,156
Gradisa,2026-06-18 18:04:35.365929+00,157
Turn2C,2026-06-18 18:04:35.365929+00,158
Eaí,2026-06-18 18:04:35.365929+00,159
Nobre Embalagem,2026-06-18 18:04:35.365929+00,160
Localize,2026-06-18 18:04:35.365929+00,161
Meta.X,2026-06-18 18:04:35.365929+00,162
Autonomoz,2026-06-18 18:04:35.365929+00,163
Bistex,2026-06-18 18:04:35.365929+00,164
TotalPass,2026-06-18 18:04:35.365929+00,165
Gismar,2026-06-18 18:04:35.365929+00,166
ASSIS E SIQUEIRA ADV,2026-06-18 18:04:35.365929+00,167
Predialize,2026-06-18 18:04:35.365929+00,169
BS Seguros,2026-06-18 18:04:35.365929+00,170
Rio Frame,2026-06-18 18:04:35.365929+00,171
Sygecom,2026-06-18 18:04:35.365929+00,172
Centric Solutions,2026-06-18 18:04:35.365929+00,173
Becomex,2026-06-18 18:04:35.365929+00,174
Viabilizze,2026-06-18 18:04:35.365929+00,175
Go Advogados,2026-06-18 18:04:35.365929+00,176
CSP Tech,2026-06-18 18:04:35.365929+00,177
Merconorte,2026-06-18 18:04:35.365929+00,178
Ortobom,2026-06-18 18:04:35.365929+00,179
Strada Mobi,2026-06-18 18:04:35.365929+00,180
ContaDR,2026-06-18 18:04:35.365929+00,181
Kamino,2026-06-18 18:04:35.365929+00,182
VendPago,2026-06-18 18:04:35.365929+00,183
Dumont's,2026-06-18 18:04:35.365929+00,184
Syllos Company,2026-06-18 18:04:35.365929+00,185
Bravio Pack,2026-06-18 18:04:35.365929+00,186
Intelbras,2026-06-18 18:04:35.365929+00,187
Ideia Consultoria,2026-06-18 18:04:35.365929+00,188
Utilit Marketing,2026-06-18 18:04:35.365929+00,190
JA Saúde Animal,2026-06-18 18:04:35.365929+00,191
Nobre Gráfica,2026-06-19 23:14:02.595363+00,192
SoftExpert,2026-06-18 18:04:35.365929+00,193
WLE,2026-06-18 18:04:35.365929+00,194
Targit Brasil,2026-06-18 18:04:35.365929+00,196
Clinica Experts,2026-06-18 18:04:35.365929+00,197
Cobmais,2026-06-18 18:04:35.365929+00,198
Auto Elétrica Luminosa,2026-06-18 18:04:35.365929+00,200
Grupo Lefor,2026-06-18 18:04:35.365929+00,201
Zoho,2026-06-18 18:04:35.365929+00,202
Grupo Vocical,2026-06-18 18:04:35.365929+00,203
Okser,2026-06-18 18:04:35.365929+00,204
L5 Networks,2026-06-18 18:04:35.365929+00,205
oTicket,2026-06-18 18:04:35.365929+00,207
Discoverpay,2026-06-18 18:04:35.365929+00,208
Apetece,2026-06-18 18:04:35.365929+00,210
App Sistemas,2026-06-18 18:04:35.365929+00,211
Reufy,2026-06-18 18:04:35.365929+00,212
Hellner,2026-06-18 18:04:35.365929+00,213
Rc Dental Med,2026-06-18 18:04:35.365929+00,214
Saavedra,2026-06-18 18:04:35.365929+00,215
Hartbau,2026-06-18 18:04:35.365929+00,216
Volk do Brasil,2026-06-18 18:04:35.365929+00,217
Compostos do Brasil,2026-06-18 18:04:35.365929+00,218
Conexão Sistemas de Próteses,2026-06-18 18:04:35.365929+00,219
Innovo,2026-06-18 18:04:35.365929+00,220
Expanzio,2026-06-18 18:04:35.365929+00,221
TNU SISTEMAS,2026-06-18 18:04:35.365929+00,223
Opentech,2026-06-18 18:04:35.365929+00,224
Onbeef,2026-06-18 18:04:35.365929+00,225
KMM,2026-06-18 18:04:35.365929+00,226
Lecheloco,2026-06-18 18:04:35.365929+00,227
Jalan,2026-06-18 18:04:35.365929+00,228
AlugueON,2026-06-18 18:04:35.365929+00,229
F5 Conecta,2026-06-18 18:04:35.365929+00,230
Publicações Online,2026-06-18 18:04:35.365929+00,231
Trust Control,2026-06-18 18:04:35.365929+00,232
Zapper,2026-06-18 18:04:35.365929+00,233
Irani Papel e Embalagem SC,2026-06-18 18:04:35.365929+00,234
