id,created_at,tipo_contrato,csm,data_assinatura,data_churn,conta_id
00a7bae6-9271-43da-9181-cb1e1a2432f3,2026-06-18 21:54:55.982897+00,PipeLovers 5 para Empresas,Camila Nassar,2025-08-20,2026-08-20,321
00a8b041-0d69-416e-b848-1778c3f1aa5e,2026-06-18 21:54:55.982897+00,PipeLovers 3 para Empresas,Camila Nassar,2025-10-23,2026-05-08,20137
0158b600-1e1a-4064-8d13-07e35614954c,2026-07-14 19:57:06.264202+00,PipeLovers 3 para Empresas,Gonzalo Cami,2026-06-30,,417
01804ef9-d2da-4c00-bfb2-c187ce18c1c7,2026-06-18 21:54:55.982897+00,PipeLovers 5 para Empresas,Natália Tamyle,2025-05-06,,170
019b0585-3b93-4194-bb20-51a2e5bf17a5,2026-06-18 21:54:55.982897+00,PipeLovers 15 para Empresas,Natália Tamyle,2025-04-29,2025-12-31,20108
01f48d0b-20aa-487d-9eff-d9f96d31ecf3,2026-06-18 21:54:55.982897+00,PipeLovers 5 para Empresas,Patrícia Zancan,2024-10-09,,239
0205959a-f993-41b8-977a-6980554a65d0,2026-06-18 21:54:55.982897+00,PipeLovers 3 para Empresas,Camila Nassar,2024-09-26,,201
022959b6-a446-4a44-ab25-1f32b26bc51d,2026-06-18 21:54:55.982897+00,PipeLovers 10 para Empresas,Natália Tamyle,2025-12-18,,280
0308e571-ae6f-433d-bc7c-e77328ad2a71,2026-06-18 21:54:55.982897+00,PipeLovers 3 para Empresas,Patrícia Zancan,2025-09-29,,153
0344dcd2-87da-4267-8dba-f3988627ce4d,2026-06-18 21:54:55.982897+00,PipeLovers 15 para Empresas,Bárbara Cabrini,2024-08-28,2025-01-12,20018
034b498e-23b4-433f-813a-6408735666bf,2026-06-18 21:54:55.982897+00,PipeLovers 3 para Empresas,Nicoly,2025-09-30,2026-04-03,20492
03acee57-a7db-4a54-8aca-452f6fd81b5b,2026-06-18 21:54:55.982897+00,PipeLovers 5 para Empresas,Gustavo Moraes,2024-08-09,2026-05-13,20288
04099cf2-86b3-4df4-aa29-5a51bff5a6f0,2026-06-18 21:54:55.982897+00,PipeLovers 5 para Empresas,Patrícia Zancan,2025-12-01,,231
047a24d9-2d51-46af-8d41-cba3c3fbfaae,2026-06-18 21:54:55.982897+00,PipeLovers 3 para Empresas,Camila Nassar,2026-02-19,,145
04cdb14c-1563-40fa-8d37-16785deb5b6c,2026-06-18 21:54:55.982897+00,PipeLovers 3 para Empresas,Camila Nassar,2025-12-19,2026-07-10,325
05141edf-008d-40ca-9b85-3a81ba49918d,2026-06-18 21:54:55.982897+00,PipeLovers 3 para Empresas,Camila Nassar,2025-06-02,2026-04-16,20058
055c269b-4c9d-4c9d-b588-2be36fddcda4,2026-06-18 21:54:55.982897+00,PipeLovers 5 para Empresas,Natália Tamyle,2024-11-25,2025-01-18,20029
055e98e3-24d9-48a5-b768-916cc73cc5d5,2026-06-18 21:54:55.982897+00,PipeLovers 3 para Empresas,Camila Nassar,2025-02-21,2025-07-31,20321
057f02b0-31d8-4dd5-bacb-4dcc8811c57d,2026-06-18 21:54:55.982897+00,PipeLovers 5 para Empresas,Nicoly,2026-04-23,2026-05-10,20566
05b83347-d38a-431c-9a6f-85c004b546a7,2026-06-18 21:54:55.982897+00,PipeLovers 10 para Empresas,Bárbara Cabrini,2024-02-09,2024-12-04,20075
